Ref,Val,Package,PosX,PosY,Rot,Side
"R8","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-50.419000,6.604000,0.000000,bottom
"R9","22k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-54.356000,6.604000,180.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.844000,15.494000,270.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.174400,18.021400,270.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.181000,24.638000,180.000000,top
"C5","100uF","CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",55.372000,24.638000,0.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.002000,20.853400,90.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.124860,36.051480,270.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.068000,18.288000,180.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.467000,8.636000,180.000000,top
"D1","ZLLS500","D_SOT-23_ANK",43.053000,17.526000,0.000000,top
"D2","ZLLS500","D_SOT-23_ANK",51.038000,21.717000,270.000000,top
"IC2","LT3652EMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",53.463700,15.125800,90.000000,top
"IC3","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",37.068000,21.082000,90.000000,top
"IC4","BH1726","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",20.200000,20.561400,0.000000,top
"IC5","MCP9808","MSOP-8_3x3mm_P0.65mm",13.117860,37.139380,90.000000,top
"L1","68uH","L_2512_6332Metric_Pad1.52x3.35mm_HandSolder",46.974000,19.980200,270.000000,top
"R1","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.116000,29.426000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.823000,29.426000,180.000000,top
"R4","220k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.948800,16.245000,270.000000,top
"R5","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.064400,16.245000,90.000000,top
"R6","220k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.121800,16.245000,270.000000,top
"R7","0R22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.864000,20.828000,180.000000,top
"R10","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.718000,24.130000,0.000000,top
"R11","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.727000,19.558000,0.000000,top
"R12","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.903000,24.384000,180.000000,top
"R13","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.196000,29.438600,180.000000,top
"R14","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.098000,23.368000,0.000000,top
"R15","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.702000,30.226000,270.000000,top
"R16","270k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",27.178000,16.764000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1.5mm","Fiducial_0.5mm_Mask1.5mm",3.000000,18.000000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1.5mm","Fiducial_0.5mm_Mask1.5mm",70.000000,48.000000,0.000000,top
"RV1","10k","Potentiometer_Vishay_TS53YJ_Vertical",47.412400,12.884900,0.000000,top
"SW1","ENABLE","SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm",54.594000,3.556000,180.000000,top
